company_name,current_status,b_corp_profile,website,assessment_year,overall_score
Scratch and Peck Feeds,certified,bcorporation.net/directory/scratch-and-peck-feeds,www.scratchandpeck.com,2017,80.9
Natura CosmÇticos SA,certified,bcorporation.net/directory/natura-cosmeticos-sa,www.natura.com.br,2014,108.4
Ian Martin Group,certified,bcorporation.net/directory/ian-martin-group,ianmartin.com,2018,109.8
Ian Martin Group,certified,bcorporation.net/directory/ian-martin-group,ianmartin.com,2016,109.6
Ian Martin Group,certified,bcorporation.net/directory/ian-martin-group,ianmartin.com,2014,104.8
Ian Martin Group,certified,bcorporation.net/directory/ian-martin-group,ianmartin.com,2012,86.5
ESPERTA Srl SB,certified,bcorporation.net/directory/esperta-srl-sb,www.espertasrl.com,2019,85.4
Kit Urbano,certified,bcorporation.net/directory/kit-urbano,www.kiturbano.com,2017,97.7
OMPLIM GESTIO I EDIFICACIO RESPONSABLE SL,certified,bcorporation.net/directory/omplim-gestio-i-edificacio-responsable-sl,www.omplim.cat,2019,83.4
Emzingo,certified,bcorporation.net/directory/emzingo,www.emzingo.com,2017,99.6
Emzingo,certified,bcorporation.net/directory/emzingo,www.emzingo.com,2015,86.2
This is L. Inc.,certified,bcorporation.net/directory/l-inc,www.thisisl.com,2018,100.8
This is L. Inc.,certified,bcorporation.net/directory/l-inc,www.thisisl.com,2016,116.9
This is L. Inc.,certified,bcorporation.net/directory/l-inc,www.thisisl.com,2013,128.3
Garc SpA,certified,bcorporation.net/directory/garc-sp-a,www.garc.it,2019,90.4
Teterum SL,certified,bcorporation.net/directory/teterum-sl,www.teterum.es,2018,87.9
Teterum SL,certified,bcorporation.net/directory/teterum-sl,www.teterum.es,2016,91.7
Voice Communications Limited,certified,bcorporation.net/directory/voice-communications-limited,www.voicecommunications.co.uk/,2019,81.1
LUXTRA,certified,bcorporation.net/directory/luxtra,www.luxtralondon.com,2019,91.9
OM Conseil,certified,bcorporation.net/directory/om-conseil,www.om-conseil.fr,2019,80.3
Maanch,certified,bcorporation.net/directory/maanch,maanch.com/,2019,92.1
amamus Ltd,certified,bcorporation.net/directory/amamus-ltd,www.amamus.coffee,2019,83.1
Investindustrial,certified,bcorporation.net/directory/investindustrial,www.investindustrial.com,2019,116.2
Ananas Anam,certified,bcorporation.net/directory/ananas-anam,www.ananas-anam.com,2019,80.5
Bruichladdich Distillery Co. Ltd,certified,bcorporation.net/directory/bruichladdich-distillery-co-ltd,www.bruichladdich.com,2019,83.2
Bridges Fund Management,certified,bcorporation.net/directory/bridges-fund-management,www.bridgesfundmanagement.com,2017,130.2
Bridges Fund Management,certified,bcorporation.net/directory/bridges-fund-management,www.bridgesfundmanagement.com,2015,146.4
ECHALE,certified,bcorporation.net/directory/echale-a-tu-casa,www.echale.com.mx/ingles/ingles.html,2017,140.2
ECHALE,certified,bcorporation.net/directory/echale-a-tu-casa,www.echale.com.mx/ingles/ingles.html,2013,179.2
ECHALE,certified,bcorporation.net/directory/echale-a-tu-casa,www.echale.com.mx/ingles/ingles.html,2012,155
Royal Auping,certified,bcorporation.net/directory/royal-auping,www.auping.com,2019,86
S1 Medical,certified,bcorporation.net/directory/s1-medical,www.s1-medical.com,2020,84.4
Danone Egypt,certified,bcorporation.net/directory/danone-egypt,www.danone.com,2017,81.6
"Feynman Group, Inc.",certified,bcorporation.net/directory/feynman-group-inc,www.feynmangroup.com,2017,81
Simply Good Jars,certified,bcorporation.net/directory/simply-good-jars,www.simplygoodjars.com,2019,90.4
Montcalm TCR LLC,certified,bcorporation.net/directory/montcalm-tcr-llc,www.montcalmtcr.com,2018,120.8
Montcalm TCR LLC,certified,bcorporation.net/directory/montcalm-tcr-llc,www.montcalmtcr.com,2015,111
Impact and Growth Advisors,certified,bcorporation.net/directory/impact-and-growth-advisors,www.impactandgrowth.com,2017,85.7
Code For Australia,certified,bcorporation.net/directory/code-for-australia,codeforaustralia.org,2019,86.4
Kent Employment Law,certified,bcorporation.net/directory/kent-employment-law,www.kentemploymentlaw.com,2017,101.6
Kent Employment Law,certified,bcorporation.net/directory/kent-employment-law,www.kentemploymentlaw.com,2015,83.4
Oliberte Limited,certified,bcorporation.net/directory/oliberte-limited,oliberte.com,2019,80.6
Oliberte Limited,certified,bcorporation.net/directory/oliberte-limited,oliberte.com,2016,112.8
Oliberte Limited,certified,bcorporation.net/directory/oliberte-limited,oliberte.com,2014,127.5
Oliberte Limited,certified,bcorporation.net/directory/oliberte-limited,oliberte.com,2012,108.1
T-Global Technology,certified,bcorporation.net/directory/t-global-technology,www.tglobal.com.tw,2019,80.1
T-Global Technology,certified,bcorporation.net/directory/t-global-technology,www.tglobal.com.tw,2016,80.2
OrgBetter,certified,bcorporation.net/directory/orgbetter,www.orgbetter.com,2018,117.3
OrgBetter,certified,bcorporation.net/directory/orgbetter,www.orgbetter.com,2016,81.4
"WEN TANG TEA CO., LTD",certified,bcorporation.net/directory/wen-tang-tea-co-ltd,www.teatalk1950.com,2017,80.5
XPLANE,certified,bcorporation.net/directory/xplane,www.xplane.com,2016,82.6
MaCher USA,certified,bcorporation.net/directory/macher-usa,www.macher.com,2016,96.4
MaCher USA,certified,bcorporation.net/directory/macher-usa,www.macher.com,2014,84.3
