Home Depot,Lawyers’ Committee for Civil Rights Under Law,"$1,000,000",9 Jun 20,https://money.yahoo.com/here-are-the-companies-donating-to-racial-justice-causes-191413371.html
Love Wellness,"NAACP, BLM","$25,000",9 Jun 20,https://money.yahoo.com/here-are-the-companies-donating-to-racial-justice-causes-191413371.html
Patagonia,NAACP Legal Defense and Educational Fund,"$100,000",9 Jun 20,https://money.yahoo.com/here-are-the-companies-donating-to-racial-justice-causes-191413371.html
Sephora,"National CARE, Center for Urban Families, NAACP,  The National Black Justice Coalition, The National Coalition on Black Civic Participation Black Women’s Roundtable","$1,000,000",9 Jun 20,https://money.yahoo.com/here-are-the-companies-donating-to-racial-justice-causes-191413371.html
Alter Eco,NAACP Legal Defense and Educational Fund,"20% Website sales June 1-7, 2020",9 Jun 20,https://www.delish.com/food-news/a32745444/food-brands-black-lives-matter-support/
Emmy’s Organics,NAACP Legal Defense and Educational Fund,"100% Proceeds June 1-3, 2020",9 Jun 20,https://www.delish.com/food-news/a32745444/food-brands-black-lives-matter-support/
Enlightened,NAACP Legal Defense and Educational Fund,"50% profits from website all of June 2020, at least $50,000",9 Jun 20,https://www.delish.com/food-news/a32745444/food-brands-black-lives-matter-support/
Golde,NAACP,"$10,000",9 Jun 20,https://www.delish.com/food-news/a32745444/food-brands-black-lives-matter-support/
Thrive Market,BLM,"$50,000",9 Jun 20,https://www.delish.com/food-news/a32745444/food-brands-black-lives-matter-support/
Thrive Market,"Your Rights Camp, Atlanta Solidarity Fund",Matching employee donations 2:1,9 Jun 20,https://www.delish.com/food-news/a32745444/food-brands-black-lives-matter-support/
