Lowe’s,Grants to help minority-owned businesses to reopen ,"$25,000,000",9 Jun 20,https://www.cnbc.com/2020/05/20/lowes-funds-25-million-in-grants-to-help-minority-businesses-reopen.html
Everlane,ACLU,"$75,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Ganni,"ACLU, BLM, NAACP","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Honest Beauty,"NAACP Legal Defense and Educational Fund, Equal Justice Initiative ","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Savage X Fenty,"BLM Greater NY, Bail Project",TBD,9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Anastasia Beverly Hills,"BLM,  The Innocence Project, The NAACP Legal Defense and Education Fund, Black Visions Collective, and The Marshall Project.","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Prabal Gurung,The Bail Project,100% Proceeds of selected clothing,9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Glow Recipe,Black Visions Collective,"$10,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Pretty Little Thing,BLM,100% Proceeds of selected collection,9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Colourpop,Minnesota Freedom Fund,"$25,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Colourpop,ACLU,"$25,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Colourpop,Black communities through other organizations,"$250,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Lipslut,"Black Lives Matter, the Equal Justice Initiative, and the NAACP Legal Defense and Educational Fund and others",100% Proceeds for 1 week,9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Fashion Nova,"BLM, NAACP Legal and Education Fund, Your Rights Camp","$1,000,000 over course of 2020",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Etsy,Equal Justice Initiative,"$500,000 + Employee Donation Match",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Etsy,Borealis Philanthropy's Black-Led Movement Fund. ,"$500,000 + Employee Donation Match",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Toms,BLM and other organizations working to end racial injustice,"$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Glossier,"BLM, NAACP Legal Defense and Educational Fund, The Equal Justice Initiative, The Marsha P. Johnson Institute, and We The Protesters","$500,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Glossier,Black-Owned Beauty Businesses,"$500,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
Spanx,"Black Lives Matter, NAACP Legal Defense and Education Fund and The Minnesota Freedom Fund.","$100,000",9 Jun 20,https://www.elle.com/culture/career-politics/a32722895/businesses-supporting-black-lives-matter/
